id,title,type,category,url,thumbnail,artist,description
v01,La liga de los culpables,video,Momentos,https://youtu.be/2XuH2GalM1U?si=TltZYfH5v6OEBE8B,https://img.youtube.com/vi/2XuH2GalM1U/maxresdefault.jpg,Dante Gebel,Dios usa las cosas rotas y las transforma
v02,Derramo El Perfume,video,Musica,https://www.youtube.com/watch?v=4z9-edB7rLU,https://img.youtube.com/vi/4z9-edB7rLU/maxresdefault.jpg,Samuel Perdomo,Adoración profunda reconociendo la presencia de Dios en nuestras vidas.
v03,Reflexión: Sí Hay Esperanza,video,Momentos,https://www.youtube.com/watch?v=mqeSH1xgM7k,https://img.youtube.com/vi/mqeSH1xgM7k/maxresdefault.jpg,EnCanto Radio,Un momento de aliento para aquellos que buscan una respuesta en Cristo Jesús.
v04,Lo Único que Quiero es Adorarte,video,Musica,https://www.youtube.com/watch?v=F2ah2ojfoAM,https://img.youtube.com/vi/F2ah2ojfoAM/maxresdefault.jpg,Samuel & Anabel,Adoración en unidad familiar para exaltar el nombre del Señor.
v05,Dante Gebel con María Laura Santillán,video,Entrevistas,https://youtu.be/k7a86AdHMSg?si=rn8zjmS36xaZlpLm,https://img.youtube.com/vi/k7a86AdHMSg/maxresdefault.jpg,Dante Gebel,Necesitamos creer en Dios los últimos instantes de la vida
v06,Especial Alabanza Tropical,video,Musica,https://www.youtube.com/watch?v=aJWdfnyBwxg,https://img.youtube.com/vi/aJWdfnyBwxg/maxresdefault.jpg,Poder de Cristo,Música alegre y llena de júbilo para celebrar la victoria en Cristo.
v07,Cristo Nuestra Esperanza,video,Musica,https://www.youtube.com/watch?v=VNTILaAnvnI,https://img.youtube.com/vi/VNTILaAnvnI/maxresdefault.jpg,EnCanto Radio,Lyric video oficial de nuestra canción lema para la radio.
v08,Mensaje: No Te Rindas,video,Momentos,https://www.youtube.com/watch?v=7tRONscpznY,https://img.youtube.com/vi/7tRONscpznY/maxresdefault.jpg,Samuel Perdomo,Palabra de fortaleza y ánimo para los tiempos de prueba.
v09,Adoración: Quiero más de Ti,video,Musica,https://www.youtube.com/watch?v=xBUeC7V7RdI,https://img.youtube.com/vi/xBUeC7V7RdI/maxresdefault.jpg,Samuel & Anabel,Clamor congregacional buscando la plenitud de la presencia del Espíritu Santo.
v10,Esperanza Hay (Live),video,Musica,https://www.youtube.com/watch?v=8_WIT72u-78,https://img.youtube.com/vi/8_WIT72u-78/maxresdefault.jpg,EnCanto Radio,Versión en vivo de nuestra alabanza congregacional llena de esperanza.
v01,La liga de los culpables,video,Momentos,https://youtu.be/2XuH2GalM1U?si=TltZYfH5v6OEBE8B,https://img.youtube.com/vi/2XuH2GalM1U/maxresdefault.jpg,Dante Gebel,Dios usa las cosas rotas y las transforma
mus-01,Holy Forever (Official Lyric Video),video,Musica,https://www.youtube.com/watch?v=hPdYv_tF3iM,https://img.youtube.com/vi/hPdYv_tF3iM/maxresdefault.jpg,Chris Tomlin,Uno de los mayores éxitos de adoración contemporánea de 2024-2025.
mus-02,Praise (Official Music Video),video,Musica,https://www.youtube.com/watch?v=TfE7p8n7d9c,https://img.youtube.com/vi/TfE7p8n7d9c/maxresdefault.jpg,Elevation Worship,Canción vibrante que ha liderado las listas de alabanza este año.
mus-03,Gratitude (Live),video,Musica,https://www.youtube.com/watch?v=GC_m9U92v_U,https://img.youtube.com/vi/GC_m9U92v_U/maxresdefault.jpg,Brandon Lake,Un himno de agradecimiento profundo que sigue impactando a la iglesia global.
mus-04,Firm Foundation (He Won't),video,Musica,https://www.youtube.com/watch?v=Z6SjX8_4Yis,https://img.youtube.com/vi/Z6SjX8_4Yis/maxresdefault.jpg,Cody Carnes,Una declaración poderosa de fe sobre la roca que es Cristo.
mus-05,Trust In God (Live),video,Musica,https://www.youtube.com/watch?v=0_XvT_S1vXw,https://img.youtube.com/vi/0_XvT_S1vXw/maxresdefault.jpg,Elevation Worship,Una alabanza inspirada en himnos clásicos con un toque moderno.
mus-06,I Speak Jesus (Official Video),video,Musica,https://www.youtube.com/watch?v=Lq2fP8M9N3I,https://img.youtube.com/vi/Lq2fP8M9N3I/maxresdefault.jpg,Charity Gayle,Un clamor poderoso declarando el nombre de Jesús sobre las familias y naciones.
mus-07,Jireh (Live at Elevation),video,Musica,https://www.youtube.com/watch?v=mC-zw0zEHSQ,https://img.youtube.com/vi/mC-zw0zEHSQ/maxresdefault.jpg,Maverick City Music,Una adoración sobre la provisión suficiente de Dios en nuestras vidas.
mus-08,Goodness of God (Live),video,Musica,https://www.youtube.com/watch?v=7RR2SIsJmUA,https://img.youtube.com/vi/7RR2SIsJmUA/maxresdefault.jpg,CeCe Winans,La emotiva versión de CeCe que sigue siendo favorita en todas las congregaciones.
mus-09,Believe For It (Live),video,Musica,https://www.youtube.com/watch?v=19u5G_Gv07U,https://img.youtube.com/vi/19u5G_Gv07U/maxresdefault.jpg,CeCe Winans,Un canto de victoria y fe para creer por milagros hoy.
mus-10,Same God (Official Live),video,Musica,https://www.youtube.com/watch?v=W5m0S6F_N_k,https://img.youtube.com/vi/W5m0S6F_N_k/maxresdefault.jpg,Elevation Worship,Recordando que el Dios de Jacob y Moisés es el mismo que nos guía hoy.
mus-11,King of Kings (Live),video,Musica,https://www.youtube.com/watch?v=Of5IcFWiEpg,https://img.youtube.com/vi/Of5IcFWiEpg/maxresdefault.jpg,Hillsong Worship,Una alabanza teológica que recorre la historia de la salvación.
mus-12,Build My Life (Live),video,Musica,https://www.youtube.com/watch?v=Z32HiCoFzlU,https://img.youtube.com/vi/Z32HiCoFzlU/maxresdefault.jpg,Pat Barrett,Un compromiso de edificar nuestra existencia sobre el fundamento del amor de Dios.
